Perido,Industria,Departamento,Cargo,Región,Sueldo_Min,Sueldo_Max
2025-Q1,Automotriz,IT,Administrador de Redes,Buenos Aires,2767949,3533715.9
2025-Q1,Automotriz,IT,Administrador de Redes,Cuyo,2546513.08,3251018.628
2025-Q1,Automotriz,IT,Administrador de Redes,Litoral,2546513.08,3251018.628
2025-Q1,Automotriz,IT,Administrador de Redes,NEA,2435795.12,3109669.992
2025-Q1,Automotriz,IT,Administrador de Redes,NOA,2435795.12,3109669.992
2025-Q1,Automotriz,IT,Administrador de Redes,Patagonia,2767949,3533715.9
2025-Q1,Banca & Serv Financieros,IT,Administrador de Redes,Buenos Aires,3018126,3853109.08125
2025-Q1,Banca & Serv Financieros,IT,Administrador de Redes,Cuyo,2776675.92,3544860.35475
2025-Q1,Banca & Serv Financieros,IT,Administrador de Redes,Litoral,2776675.92,3544860.35475
2025-Q1,Banca & Serv Financieros,IT,Administrador de Redes,NEA,2655950.88,3390735.9915
2025-Q1,Banca & Serv Financieros,IT,Administrador de Redes,NOA,2655950.88,3390735.9915
2025-Q1,Banca & Serv Financieros,IT,Administrador de Redes,Patagonia,3018126,3853109.08125
2025-Q1,Consumo masivo,IT,Administrador de Redes,Buenos Aires,2767949,3533715.9
2025-Q1,Consumo masivo,IT,Administrador de Redes,Cuyo,2546513.08,3251018.628
2025-Q1,Consumo masivo,IT,Administrador de Redes,Litoral,2546513.08,3251018.628
2025-Q1,Consumo masivo,IT,Administrador de Redes,NEA,2435795.12,3109669.992
2025-Q1,Consumo masivo,IT,Administrador de Redes,NOA,2435795.12,3109669.992
2025-Q1,Consumo masivo,IT,Administrador de Redes,Patagonia,2767949,3533715.9
2025-Q1,"Gas, Petróleo y Minería",IT,Administrador de Redes,Buenos Aires,3018100,3853000
2025-Q1,"Gas, Petróleo y Minería",IT,Administrador de Redes,Cuyo,2776652,3544760
2025-Q1,"Gas, Petróleo y Minería",IT,Administrador de Redes,Litoral,2776652,3544760
2025-Q1,"Gas, Petróleo y Minería",IT,Administrador de Redes,NEA,2655928,3390640
2025-Q1,"Gas, Petróleo y Minería",IT,Administrador de Redes,NOA,2655928,3390640
2025-Q1,"Gas, Petróleo y Minería",IT,Administrador de Redes,Patagonia,3018100,3853000
2025-Q1,IT,IT,Administrador de Redes,Buenos Aires,3020000,3855000
2025-Q1,IT,IT,Administrador de Redes,Cuyo,2778400,3546600
2025-Q1,IT,IT,Administrador de Redes,Litoral,2778400,3546600
2025-Q1,IT,IT,Administrador de Redes,NEA,2657600,3392400
2025-Q1,IT,IT,Administrador de Redes,NOA,2657600,3392400
