ID_Alojamiento,URL_Alojamiento,Desc_Alojamiento,ID_Host,Nombre_Host,Fecha_Ini_Host,Ubicacion_Host,Tiempo_Rpta_Host,Ratio_Rpta_Host,Superhost,Barrio_Alojamiento,Barrio_Latitude,Barrio_Logitude,Tipo_Propiedad,Capacidad_Alojamiento,Cant_Baños,Cant_Camas,Noches_Min,Noches_Max,Cant_Reseñas_Alojamiento,Fecha_Ini_Reseña,Fecha_Ult_Reseña,Score_Rating,Punto_Geo_Alojamiento,Precio_Noche,Moneda,Amenidades
11508,https://www.airbnb.com/rooms/11508,Condo in Buenos Aires · ?4.79 · 1 bedroom · 1 bed · 1 bath,42762,Candela,10/1/2009,"New York, NY",within an hour,100%,t,Palermo,-34.58184,-58.42415,Entire condo,2,1 bath,1.0,3,1125,39,7/2/2012,11/30/2023,4.79,"[-58.42415, -34.58184]",66.0,USD,"['Bathtub', 'Hair dryer', 'Cleaning products', 'Body soap', 'Bidet', 'Hot water', 'Paid washer â?? In building', 'Paid dryer â?? In building', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Extra pillows and blanket"
14222,https://www.airbnb.com/rooms/14222,Rental unit in Palermo/Buenos Aires · ?4.77 · 1 bedroom · 1 bed · 1 bath,87710233,María,8/3/2016,"Buenos Aires, Argentina",within an hour,100%,t,Palermo,-34.58617,-58.41036,Entire rental unit,2,1 bath,1.0,7,100,114,7/10/2012,11/30/2023,4.77,"[-58.41036, -34.58617]",19.0,USD,"['Bathtub', 'Hot water', 'Washer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Room-darkening shades', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Wifi', 'Dedicated workspace', 'In a room with a door', 'Kitchen', 'Space wher"
15074,https://www.airbnb.com/rooms/15074,Rental unit in Buenos Aires · 1 bedroom · 1 bed · 1 bath,59338,Monica,12/2/2009,,,,f,Nuñez,-34.53892,-58.46599,Private room in rental unit,1,1 bath,1.0,29,730,0,,,,"[-58.46599, -34.53892]",30.0,USD,"['Washer', 'Dryer', 'TV with standard cable', 'Air conditioning', 'Heating', 'Wifi', 'Kitchen', 'Space where guests can cook their own meals', 'Unavailable: Lock on bedroom door', 'Lock on bedroom door', 'There is no lock on the bedroom door.', 'Unavaila"
16695,https://www.airbnb.com/rooms/16695,Loft in Buenos Aires · ?4.28 · 1 bedroom · 1 bed · 1 bath,64880,Elbio Mariano,12/21/2009,"Buenos Aires, Argentina",within an hour,100%,t,Monserrat,-34.61439,-58.37611,Entire loft,4,1 bath,1.0,2,1125,45,3/4/2011,11/30/2019,4.28,"[-58.37611, -34.61439]",49.0,USD,"['Hair dryer', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Iron', 'TV with standard cable', 'Air conditioning', 'Heating', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Space where guests can cook their own meals', 'Re"
20062,https://www.airbnb.com/rooms/20062,Rental unit in Buenos Aires · ?4.93 · 2 bedrooms · 2 beds · 1.5 baths,75891,Sergio Damian,1/31/2010,"Buenos Aires, Argentina",within an hour,100%,t,Palermo,-34.581848,-58.441605,Entire rental unit,4,1.5 baths,2.0,2,365,303,5/19/2010,12/26/2023,4.93,"[-58.441605, -34.581848]",100.0,USD,"['City skyline view', 'Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Hot water', 'Shower gel', 'Free washer ? In building', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Roo"
20429,https://www.airbnb.com/rooms/20429,Rental unit in Buenos Aires · 1 bedroom · 1 bed · 1 bath,77065,Marcelo,2/3/2010,"Buenos Aires, Argentina",,,f,Constitucion,-34.6226,-58.38704,Entire rental unit,2,1 bath,1.0,15,1125,0,,,,"[-58.38704, -34.6226]",34.0,USD,"['Hot water', 'Washer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Iron', 'TV with standard cable', 'Air conditioning', 'Heating', 'Wifi', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator'"
24713,https://www.airbnb.com/rooms/24713,Rental unit in Buenos Aires · ?4.66 · 1 bedroom · 2 beds · 1 bath,100743,Griselda,3/29/2010,"Buenos Aires, Argentina",within a few hours,100%,t,San Nicolas,-34.60254,-58.37811,Entire rental unit,3,1 bath,2.0,1,10,377,3/25/2013,10/27/2023,4.66,"[-58.37811, -34.60254]",34.0,USD,"['City skyline view', 'Hair dryer', 'Cleaning products', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Clothing storage: "
24763,https://www.airbnb.com/rooms/24763,Loft in Buenos Aires · ?4.62 · 1 bedroom · 1 bed · 1 bath,101049,Sebastian,3/30/2010,"Miami, FL",within a few hours,100%,f,Chacarita,-34.58494,-58.44419,Entire loft,2,1 bath,1.0,7,1125,37,3/3/2011,12/14/2022,4.62,"[-58.44419, -34.58494]",128.0,USD,"['Hair dryer', 'Shampoo', 'Hot water', 'Washer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Iron', '32 HDTV', 'High chair', 'Air conditioning', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Wifi', '"
26258,https://www.airbnb.com/rooms/26258,Rental unit in Buenos Aires · 1 bedroom · 2 beds · 1.5 baths,111013,Daniel,4/19/2010,"Buenos Aires, Argentina",within a few hours,100%,f,Almagro,-34.59997,-58.41238,Entire rental unit,2,1.5 baths,2.0,7,18,2,10/19/2010,10/23/2013,3.5,"[-58.41238, -34.59997]",24.0,USD,"['Hair dryer', 'Washer', 'Dryer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Iron', 'TV with standard cable', 'Air conditioning', 'Heating', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Space where guests can cook their own meals', 'Pool', "
27631,https://www.airbnb.com/rooms/27631,Rental unit in Buenos Aires · ?4.70 · 1 bedroom · 3 beds · 1 bath,119446,Inés,5/6/2010,"Buenos Aires, Argentina",within an hour,100%,t,Recoleta,-34.59272,-58.3894,Entire rental unit,3,1 bath,3.0,2,1125,112,8/12/2010,10/18/2023,4.7,"[-58.3894, -34.59272]",26.0,USD,"['Bathtub', 'Hair dryer', 'Shampoo', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'TV', 'AC - split type ductless system', 'Heating', 'Smo"
28244,https://www.airbnb.com/rooms/28244,Loft in Buenos Aires · ?4.85 · 1 bedroom · 1 bed · 1.5 baths,119613,Marcos,5/6/2010,"Buenos Aires, Argentina",within a few hours,100%,t,Palermo,-34.57709,-58.43665,Entire loft,2,1.5 baths,1.0,21,730,39,1/27/2014,10/21/2023,4.85,"[-58.43665, -34.57709]",46.0,USD,"['City skyline view', 'Courtyard view', 'Bathtub', 'Hair dryer', 'Bidet', 'Hot water', 'Free washer ? In building', 'Free dryer ? In building', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Room-da"
