id,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,Ori_Airp_Name,Ori_Lon,Ori_Lat,dest,Des_Airp_Name,Des_Lon,Des_Lat,air_time,distance,hour,minute,time_hour,name,geocode
27955,2013,10,1,2150.0,2159,-9.0,2246.0,2308,-22.0,9E,3525,N922XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,34.0,198,21,59,2013-10-01 21:00:00,Endeavor Air Inc.,US_KLGA
28933,2013,10,2,2154.0,2159,-5.0,2248.0,2308,-20.0,9E,3525,N916XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,36.0,198,21,59,2013-10-02 21:00:00,Endeavor Air Inc.,US_KLGA
29932,2013,10,3,2312.0,2159,73.0,9.0,2308,61.0,9E,3525,N932XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,35.0,198,21,59,2013-10-03 21:00:00,Endeavor Air Inc.,US_KLGA
30916,2013,10,4,2208.0,2159,9.0,2307.0,2308,-1.0,9E,3525,N921XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,41.0,198,21,59,2013-10-04 21:00:00,Endeavor Air Inc.,US_KLGA
32514,2013,10,6,2152.0,2159,-7.0,2259.0,2308,-9.0,9E,3525,N605LR,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,37.0,198,21,59,2013-10-06 21:00:00,Endeavor Air Inc.,US_KLGA
33524,2013,10,7,,2159,,,2308,,9E,3525,,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,,198,21,59,2013-10-07 21:00:00,Endeavor Air Inc.,US_KLGA
34495,2013,10,8,,2159,,,2308,,9E,3525,,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,,198,21,59,2013-10-08 21:00:00,Endeavor Air Inc.,US_KLGA
35460,2013,10,9,2303.0,2159,64.0,5.0,2308,57.0,9E,3525,N925XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,36.0,198,21,59,2013-10-09 21:00:00,Endeavor Air Inc.,US_KLGA
36444,2013,10,10,2353.0,2159,114.0,46.0,2308,98.0,9E,3525,N913XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,32.0,198,21,59,2013-10-10 21:00:00,Endeavor Air Inc.,US_KLGA
37448,2013,10,11,,2159,,,2308,,9E,3525,,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,,198,21,59,2013-10-11 21:00:00,Endeavor Air Inc.,US_KLGA
39019,2013,10,13,2217.0,2159,18.0,2313.0,2308,5.0,9E,3525,N935XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,34.0,198,21,59,2013-10-13 21:00:00,Endeavor Air Inc.,US_KLGA
40007,2013,10,14,2205.0,2159,6.0,2308.0,2308,0.0,9E,3525,N922XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,38.0,198,21,59,2013-10-14 21:00:00,Endeavor Air Inc.,US_KLGA
40962,2013,10,15,2151.0,2159,-8.0,2258.0,2308,-10.0,9E,3525,N928XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,36.0,198,21,59,2013-10-15 21:00:00,Endeavor Air Inc.,US_KLGA
41943,2013,10,16,2156.0,2159,-3.0,2257.0,2308,-11.0,9E,3525,N931XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,35.0,198,21,59,2013-10-16 21:00:00,Endeavor Air Inc.,US_KLGA
42939,2013,10,17,2241.0,2159,42.0,2339.0,2308,31.0,EV,5405,N612QX,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,37.0,198,21,59,2013-10-17 21:00:00,ExpressJet Airlines Inc.,US_KLGA
43927,2013,10,18,2155.0,2159,-4.0,2253.0,2308,-15.0,9E,3525,N909XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,38.0,198,21,59,2013-10-18 21:00:00,Endeavor Air Inc.,US_KLGA
45531,2013,10,20,2156.0,2159,-3.0,2255.0,2308,-13.0,9E,3525,N910XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,37.0,198,21,59,2013-10-20 21:00:00,Endeavor Air Inc.,US_KLGA
46522,2013,10,21,2226.0,2159,27.0,2311.0,2308,3.0,9E,3525,N932XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,32.0,198,21,59,2013-10-21 21:00:00,Endeavor Air Inc.,US_KLGA
47486,2013,10,22,2157.0,2159,-2.0,2248.0,2308,-20.0,9E,3525,N292PQ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,36.0,198,21,59,2013-10-22 21:00:00,Endeavor Air Inc.,US_KLGA
48458,2013,10,23,2153.0,2159,-6.0,2304.0,2308,-4.0,9E,3525,N601LR,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,42.0,198,21,59,2013-10-23 21:00:00,Endeavor Air Inc.,US_KLGA
49460,2013,10,24,2309.0,2159,70.0,6.0,2308,58.0,9E,3525,N918XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,37.0,198,21,59,2013-10-24 21:00:00,Endeavor Air Inc.,US_KLGA
50430,2013,10,25,2156.0,2159,-3.0,2301.0,2308,-7.0,9E,3525,N936XJ,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,39.0,198,21,59,2013-10-25 21:00:00,Endeavor Air Inc.,US_KLGA
51494,2013,10,27,1243.0,1239,4.0,1341.0,1359,-18.0,9E,3982,N8506C,LGA,Aeropuerto de La Guardia,-73.872597,40.777199,SYR,Aeropuerto Internacional Syracuse Hancock,-76.1063,43.111198,40.0,198,12,39,2013-10-27 12:00:00,Endeavor Air Inc.,US_KLGA
