Anio,Mes,Periodo,Dia,Fecha,Franja_Horaria,Tipo,Subtipo,Uso_Arma,Uso_Moto,Barrio,Comuna,Cantidad
2016,Enero,Ene-2016,Martes,2016-01-26,21,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Miércoles,2016-01-20,16,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Domingo,2016-01-03,13,Robo,Robo total,si,no,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-09,17,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Lunes,2016-01-25,18,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Viernes,2016-01-29,9,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Domingo,2016-01-10,14,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-09,16,Robo,Robo total,si,no,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-09,19,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Lunes,2016-01-11,14,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-12,20,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Viernes,2016-01-15,5,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-19,16,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Miércoles,2016-01-20,4,Robo,Robo total,si,no,LINIERS,9,1
2016,Enero,Ene-2016,Domingo,2016-01-24,13,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-26,21,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Miércoles,2016-01-13,20,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Lunes,2016-01-18,13,Robo,Robo total,no,no,VERSALLES,10,1
2016,Enero,Ene-2016,Domingo,2016-01-10,4,Robo,Robo total,no,no,VERSALLES,10,1
2016,Enero,Ene-2016,Viernes,2016-01-15,8,Robo,Robo automotor,si,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Martes,2016-01-05,0,Robo,Robo automotor,si,no,VERSALLES,10,1
