Unnamed: 0,Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,Trip_Duration_in_min
0,376,2015-10-01 00:16:26,2015-10-01 00:22:42,3212,Christ Hospital,40.734785818,-74.050443636,3207,Oakland Ave,40.7376037,-74.05247829999999,24470,Subscriber,1960.0,1,6
1,739,2015-10-01 00:27:12,2015-10-01 00:39:32,3207,Oakland Ave,40.7376037,-74.05247829999999,3212,Christ Hospital,40.734785818,-74.050443636,24481,Subscriber,1960.0,1,12
2,2714,2015-10-01 00:32:46,2015-10-01 01:18:01,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3193,Lincoln Park,40.7246050998869,-74.07840594649316,24628,Subscriber,1983.0,1,45
3,275,2015-10-01 00:34:31,2015-10-01 00:39:06,3199,Newport Pkwy,40.7287448,-74.03210820000001,3187,Warren St,40.721123600000006,-74.03805095,24613,Subscriber,1975.0,1,5
4,561,2015-10-01 00:40:12,2015-10-01 00:49:33,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,24668,Customer,1984.0,0,9
5,365,2015-10-01 00:41:46,2015-10-01 00:47:51,3198,Heights Elevator,40.74871594538023,-74.04044330120088,3215,Central Ave,40.7467299,-74.0492509,24644,Customer,1984.0,0,6
6,139,2015-10-01 00:43:44,2015-10-01 00:46:03,3206,Hilltop,40.7311689,-74.0575736,3195,Sip Ave,40.730742625306576,-74.06378388404845,24482,Subscriber,1988.0,1,2
7,1299,2015-10-01 01:10:10,2015-10-01 01:31:50,3197,North St,40.752559000000005,-74.044725,3215,Central Ave,40.7467299,-74.0492509,24550,Customer,1984.0,0,22
8,647,2015-10-01 02:01:36,2015-10-01 02:12:24,3213,Van Vorst Park,40.71848892,-74.047726625,3190,Garfield Ave Station,40.7104670233797,-74.07003879547119,24650,Subscriber,1988.0,1,11
9,233,2015-10-01 04:43:33,2015-10-01 04:47:27,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.730742625306576,-74.06378388404845,24584,Subscriber,1978.0,2,4
10,352,2015-10-01 04:43:42,2015-10-01 04:49:34,3215,Central Ave,40.7467299,-74.0492509,3197,North St,40.752559000000005,-74.044725,24550,Customer,1984.0,0,6
11,1013,2015-10-01 05:31:13,2015-10-01 05:48:06,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3193,Lincoln Park,40.7246050998869,-74.07840594649316,24471,Subscriber,1980.0,1,17
12,592,2015-10-01 05:41:17,2015-10-01 05:51:10,3196,Riverview Park,40.7443187,-74.04399090000001,3202,Newport PATH,40.7272235,-74.03375890000001,24406,Subscriber,1983.0,2,10
13,308,2015-10-01 05:44:29,2015-10-01 05:49:38,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24723,Subscriber,1980.0,1,5
14,667,2015-10-01 05:52:21,2015-10-01 06:03:29,3207,Oakland Ave,40.7376037,-74.05247829999999,3185,City Hall,40.7177325,-74.04384499999999,24516,Subscriber,1984.0,2,11
15,312,2015-10-01 06:25:54,2015-10-01 06:31:07,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,19086,Subscriber,1984.0,1,5
16,588,2015-10-01 06:26:37,2015-10-01 06:36:25,3210,Pershing Field,40.742677141,-74.051788633,3195,Sip Ave,40.730742625306576,-74.06378388404845,24561,Subscriber,1972.0,1,10
17,615,2015-10-01 06:26:48,2015-10-01 06:37:04,3209,Brunswick St,40.7241765,-74.05065640000001,3183,Exchange Place,40.7162469,-74.0334588,24515,Subscriber,1970.0,1,10
18,1009,2015-10-01 06:28:03,2015-10-01 06:44:53,3196,Riverview Park,40.7443187,-74.04399090000001,3183,Exchange Place,40.7162469,-74.0334588,24639,Subscriber,1976.0,1,17
19,1113,2015-10-01 06:29:54,2015-10-01 06:48:28,3217,Bayside Park,40.698650544,-74.082079678,3183,Exchange Place,40.7162469,-74.0334588,24718,Subscriber,1977.0,1,19
20,492,2015-10-01 06:33:19,2015-10-01 06:41:32,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.730742625306576,-74.06378388404845,24422,Subscriber,1983.0,2,8
21,331,2015-10-01 06:49:26,2015-10-01 06:54:58,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.730742625306576,-74.06378388404845,24452,Subscriber,1977.0,1,6
22,18715,2015-10-01 06:58:40,2015-10-01 12:10:36,3185,City Hall,40.7177325,-74.04384499999999,3184,Paulus Hook,40.7141454,-74.0335519,24516,Subscriber,1980.0,1,312
23,213,2015-10-01 06:59:27,2015-10-01 07:03:01,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3213,Van Vorst Park,40.71848892,-74.047726625,19086,Subscriber,1970.0,2,4
24,775,2015-10-01 07:00:23,2015-10-01 07:13:18,3210,Pershing Field,40.742677141,-74.051788633,3203,Hamilton Park,40.727595966,-74.044247311,24401,Subscriber,1964.0,2,13
25,304,2015-10-01 07:00:51,2015-10-01 07:05:55,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24496,Subscriber,1989.0,1,5
26,182,2015-10-01 07:03:32,2015-10-01 07:06:34,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3183,Exchange Place,40.7162469,-74.0334588,24391,Subscriber,1984.0,2,3
27,744,2015-10-01 07:04:20,2015-10-01 07:16:45,3199,Newport Pkwy,40.7287448,-74.03210820000001,3211,Newark Ave,40.72152515,-74.046304543,24567,Subscriber,1991.0,2,12
28,228,2015-10-01 07:05:53,2015-10-01 07:09:41,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3183,Exchange Place,40.7162469,-74.0334588,24594,Subscriber,1964.0,1,4
29,121,2015-10-01 07:08:50,2015-10-01 07:10:52,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3183,Exchange Place,40.7162469,-74.0334588,24558,Subscriber,1984.0,1,2
30,293,2015-10-01 07:10:09,2015-10-01 07:15:03,3187,Warren St,40.721123600000006,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,24676,Subscriber,1986.0,1,5
31,191,2015-10-01 07:11:45,2015-10-01 07:14:57,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24483,Subscriber,1972.0,2,3
32,770,2015-10-01 07:13:06,2015-10-01 07:25:56,3197,North St,40.752559000000005,-74.044725,3202,Newport PATH,40.7272235,-74.03375890000001,24478,Subscriber,1981.0,1,13
33,268,2015-10-01 07:14:36,2015-10-01 07:19:05,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24401,Subscriber,1979.0,1,4
34,792,2015-10-01 07:16:56,2015-10-01 07:30:09,3213,Van Vorst Park,40.71848892,-74.047726625,3199,Newport Pkwy,40.7287448,-74.03210820000001,24437,Subscriber,1989.0,2,13
35,487,2015-10-01 07:18:13,2015-10-01 07:26:20,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.730742625306576,-74.06378388404845,24615,Subscriber,1959.0,2,8
36,300,2015-10-01 07:22:09,2015-10-01 07:27:10,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24709,Subscriber,1970.0,2,5
37,306,2015-10-01 07:22:09,2015-10-01 07:27:16,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24396,Subscriber,1966.0,1,5
38,386,2015-10-01 07:22:24,2015-10-01 07:28:51,3203,Hamilton Park,40.727595966,-74.044247311,3202,Newport PATH,40.7272235,-74.03375890000001,24666,Subscriber,1970.0,1,6
39,287,2015-10-01 07:26:04,2015-10-01 07:30:51,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3205,JC Medical Center,40.71653978099194,-74.0496379137039,24723,Subscriber,1981.0,2,5
40,309,2015-10-01 07:26:13,2015-10-01 07:31:23,3210,Pershing Field,40.742677141,-74.051788633,3220,5 Corners Library,40.73496102000952,-74.05950307846071,24645,Subscriber,1985.0,2,5
41,230,2015-10-01 07:26:53,2015-10-01 07:30:43,3187,Warren St,40.721123600000006,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24582,Subscriber,1988.0,2,4
42,187,2015-10-01 07:26:58,2015-10-01 07:30:06,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24705,Subscriber,1975.0,2,3
43,304,2015-10-01 07:27:23,2015-10-01 07:32:28,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24429,Subscriber,1981.0,2,5
44,93,2015-10-01 07:28:25,2015-10-01 07:29:59,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3184,Paulus Hook,40.7141454,-74.0335519,24540,Subscriber,1982.0,1,2
45,387,2015-10-01 07:28:40,2015-10-01 07:35:07,3213,Van Vorst Park,40.71848892,-74.047726625,3184,Paulus Hook,40.7141454,-74.0335519,24450,Subscriber,1981.0,1,6
46,167,2015-10-01 07:30:05,2015-10-01 07:32:53,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3183,Exchange Place,40.7162469,-74.0334588,24699,Subscriber,1983.0,1,3
47,244,2015-10-01 07:31:16,2015-10-01 07:35:21,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24469,Subscriber,1969.0,1,4
