Fecha_Presupuesto,Country,Budget_Amount
2023-01-01,USA,158051
2023-01-01,Argentina,106551
2023-01-01,Spain,133742
2023-02-01,USA,152213
2023-02-01,Argentina,96296
2023-02-01,Spain,127939
2023-03-01,USA,168185
2023-03-01,Argentina,99449
2023-03-01,Spain,111172
2023-04-01,USA,142651
2023-04-01,Argentina,108412
2023-04-01,Spain,122406
2023-05-01,USA,159440
2023-05-01,Argentina,117518
2023-05-01,Spain,111115
2023-06-01,USA,168047
2023-06-01,Argentina,110546
2023-06-01,Spain,114418
2023-07-01,USA,162886
2023-07-01,Argentina,102351
2023-07-01,Spain,128523
2023-08-01,USA,164630
2023-08-01,Argentina,116604
2023-08-01,Spain,129971
2023-09-01,USA,153563
2023-09-01,Argentina,116991
2023-09-01,Spain,128363
2023-10-01,USA,146778
2023-10-01,Argentina,101005
2023-10-01,Spain,128144
2023-11-01,USA,163989
2023-11-01,Argentina,95505
2023-11-01,Spain,111849
2023-12-01,USA,165352
2023-12-01,Argentina,94911
2023-12-01,Spain,122105
2024-01-01,USA,154148
2024-01-01,Argentina,111335
2024-01-01,Spain,115976
2024-02-01,USA,151452
2024-02-01,Argentina,108592
2024-02-01,Spain,118365
2024-03-01,USA,157112
2024-03-01,Argentina,113501
2024-03-01,Spain,110805
2024-04-01,USA,156519
2024-04-01,Argentina,108318
2024-04-01,Spain,125557
2024-05-01,USA,155261
2024-05-01,Argentina,91783
2024-05-01,Spain,123675
2024-06-01,USA,160836
2024-06-01,Argentina,98634
2024-06-01,Spain,128420
2024-07-01,USA,152910
2024-07-01,Argentina,111410
2024-07-01,Spain,134364
2024-08-01,USA,168247
2024-08-01,Argentina,115997
2024-08-01,Spain,115237
2024-09-01,USA,158070
2024-09-01,Argentina,115865
2024-09-01,Spain,126674
2024-10-01,USA,159028
2024-10-01,Argentina,91665
2024-10-01,Spain,121693
2024-11-01,USA,154240
2024-11-01,Argentina,97241
2024-11-01,Spain,129445
2024-12-01,USA,162020
2024-12-01,Argentina,118941
2024-12-01,Spain,133305
