Date,Product,Country,Store,Quantity,Unit_Price,Unit_Cost
2023-01-01,Keyboard,Spain,Store_A,7,80,40
2023-01-01,Monitor,Argentina,Store_C,3,300,200
2023-01-01,Keyboard,USA,Store_A,1,80,40
2023-01-01,Headset,Spain,Store_C,7,100,60
2023-01-01,Mouse,Spain,Store_C,8,50,20
2023-01-01,Monitor,Spain,Store_C,1,300,200
2023-01-01,Monitor,Spain,Store_A,10,300,200
2023-01-01,Keyboard,Spain,Store_A,6,80,40
2023-01-01,Keyboard,USA,Store_C,6,80,40
2023-01-02,Monitor,Argentina,Store_A,2,300,200
2023-01-02,Mouse,Spain,Store_A,1,50,20
2023-01-02,Laptop,Argentina,Store_A,10,1200,800
2023-01-02,Monitor,USA,Store_A,2,300,200
2023-01-02,Laptop,USA,Store_A,8,1200,800
2023-01-02,Laptop,USA,Store_B,9,1200,800
2023-01-02,Mouse,Spain,Store_B,7,50,20
2023-01-02,Monitor,USA,Store_B,7,300,200
2023-01-02,Headset,Argentina,Store_A,4,100,60
2023-01-03,Keyboard,USA,Store_A,9,80,40
2023-01-03,Headset,Argentina,Store_C,8,100,60
2023-01-03,Monitor,USA,Store_C,10,300,200
2023-01-03,Keyboard,Argentina,Store_A,9,80,40
2023-01-03,Headset,Argentina,Store_B,8,100,60
2023-01-03,Monitor,Spain,Store_A,9,300,200
2023-01-04,Monitor,Spain,Store_A,1,300,200
2023-01-04,Keyboard,Argentina,Store_A,4,80,40
2023-01-04,Mouse,Spain,Store_B,1,50,20
2023-01-04,Mouse,Spain,Store_B,6,50,20
2023-01-04,Monitor,Argentina,Store_B,3,300,200
2023-01-04,Headset,Spain,Store_C,9,100,60
2023-01-04,Monitor,Argentina,Store_A,5,300,200
2023-01-05,Headset,Argentina,Store_A,3,100,60
2023-01-05,Keyboard,USA,Store_C,1,80,40
2023-01-05,Laptop,Argentina,Store_B,3,1200,800
2023-01-05,Keyboard,Argentina,Store_B,6,80,40
2023-01-05,Mouse,Spain,Store_C,3,50,20
2023-01-05,Mouse,Spain,Store_A,6,50,20
2023-01-05,Headset,USA,Store_A,9,100,60
2023-01-05,Monitor,Argentina,Store_B,2,300,200
2023-01-05,Keyboard,Argentina,Store_A,3,80,40
2023-01-05,Headset,Spain,Store_B,1,100,60
2023-01-06,Laptop,Spain,Store_B,3,1200,800
2023-01-06,Keyboard,USA,Store_C,4,80,40
2023-01-06,Headset,USA,Store_B,1,100,60
2023-01-06,Keyboard,Argentina,Store_A,9,80,40
2023-01-06,Monitor,Argentina,Store_C,1,300,200
2023-01-06,Headset,Spain,Store_A,6,100,60
2023-01-07,Headset,Spain,Store_A,5,100,60
2023-01-07,Keyboard,Argentina,Store_C,1,80,40
2023-01-07,Monitor,Spain,Store_C,6,300,200
2023-01-07,Headset,Argentina,Store_C,1,100,60
2023-01-07,Headset,Spain,Store_B,9,100,60
2023-01-07,Mouse,USA,Store_B,6,50,20
2023-01-07,Laptop,USA,Store_B,4,1200,800
2023-01-07,Keyboard,Spain,Store_C,3,80,40
2023-01-08,Headset,Spain,Store_C,5,100,60
2023-01-08,Keyboard,USA,Store_A,5,80,40
2023-01-08,Laptop,Argentina,Store_C,1,1200,800
2023-01-08,Keyboard,USA,Store_A,4,80,40
2023-01-08,Headset,USA,Store_B,2,100,60
2023-01-08,Mouse,Argentina,Store_B,2,50,20
2023-01-08,Mouse,Argentina,Store_C,8,50,20
2023-01-08,Mouse,USA,Store_B,10,50,20
2023-01-08,Monitor,Argentina,Store_A,2,300,200
2023-01-08,Mouse,USA,Store_A,4,50,20
2023-01-08,Laptop,Argentina,Store_A,4,1200,800
2023-01-09,Keyboard,Spain,Store_B,2,80,40
2023-01-09,Laptop,Argentina,Store_B,10,1200,800
2023-01-09,Monitor,Argentina,Store_C,2,300,200
2023-01-09,Keyboard,Spain,Store_A,7,80,40
2023-01-09,Headset,Spain,Store_B,7,100,60
2023-01-09,Headset,Spain,Store_C,7,100,60
2023-01-09,Monitor,Spain,Store_B,9,300,200
2023-01-09,Laptop,Argentina,Store_B,5,1200,800
2023-01-09,Keyboard,Argentina,Store_A,1,80,40
2023-01-09,Mouse,Spain,Store_A,6,50,20
2023-01-09,Headset,Argentina,Store_A,5,100,60
2023-01-10,Laptop,Spain,Store_B,8,1200,800
2023-01-10,Keyboard,Argentina,Store_A,8,80,40
2023-01-10,Headset,Argentina,Store_C,7,100,60
2023-01-10,Laptop,Argentina,Store_B,2,1200,800
2023-01-10,Mouse,USA,Store_A,8,50,20
2023-01-10,Monitor,Argentina,Store_B,1,300,200
2023-01-10,Monitor,USA,Store_B,3,300,200
2023-01-10,Headset,Argentina,Store_A,10,100,60
2023-01-10,Laptop,Argentina,Store_C,4,1200,800
2023-01-11,Mouse,USA,Store_C,8,50,20
2023-01-11,Laptop,USA,Store_A,10,1200,800
2023-01-11,Keyboard,Spain,Store_C,2,80,40
2023-01-11,Keyboard,Spain,Store_A,9,80,40
2023-01-11,Monitor,USA,Store_B,3,300,200
2023-01-12,Laptop,USA,Store_B,10,1200,800
2023-01-12,Laptop,USA,Store_B,3,1200,800
2023-01-12,Keyboard,Argentina,Store_B,3,80,40
2023-01-12,Headset,USA,Store_B,3,100,60
2023-01-12,Headset,USA,Store_C,1,100,60
2023-01-12,Mouse,Spain,Store_C,7,50,20
2023-01-12,Headset,USA,Store_A,1,100,60
2023-01-13,Laptop,USA,Store_A,10,1200,800
2023-01-13,Monitor,Argentina,Store_A,3,300,200
2023-01-13,Monitor,Spain,Store_C,2,300,200
2023-01-13,Mouse,USA,Store_C,4,50,20
2023-01-13,Laptop,Argentina,Store_B,10,1200,800
2023-01-13,Keyboard,USA,Store_A,2,80,40
2023-01-13,Mouse,Spain,Store_B,4,50,20
2023-01-13,Mouse,Argentina,Store_C,4,50,20
2023-01-14,Laptop,Spain,Store_C,1,1200,800
2023-01-14,Mouse,Argentina,Store_A,10,50,20
2023-01-14,Mouse,Spain,Store_B,7,50,20
2023-01-14,Monitor,Spain,Store_B,5,300,200
2023-01-14,Keyboard,Spain,Store_B,8,80,40
2023-01-14,Mouse,Spain,Store_A,3,50,20
2023-01-14,Mouse,USA,Store_B,5,50,20
2023-01-15,Mouse,USA,Store_A,1,50,20
2023-01-15,Laptop,Argentina,Store_B,8,1200,800
2023-01-15,Keyboard,Argentina,Store_A,8,80,40
2023-01-15,Headset,USA,Store_C,8,100,60
2023-01-16,Laptop,Spain,Store_B,9,1200,800
2023-01-16,Monitor,USA,Store_A,4,300,200
2023-01-16,Laptop,Argentina,Store_A,1,1200,800
2023-01-16,Mouse,Argentina,Store_B,10,50,20
2023-01-16,Headset,USA,Store_A,4,100,60
2023-01-16,Headset,Spain,Store_A,5,100,60
